2024-975532889000000-09 2075532889:58:52.889 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.761 seconds (process running for 2.394)
2024-975563605000000-09 2075563605:59:23.605 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 15252 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975563607000000-09 2075563607:59:23.607 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975563650000000-09 2075563650:59:23.650 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975563651000000-09 2075563651:59:23.651 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975564520000000-09 2075564520:59:24.520 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975564534000000-09 2075564534:59:24.534 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975564538000000-09 2075564538:59:24.538 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975564539000000-09 2075564539:59:24.539 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-975564585000000-09 2075564585:59:24.585 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-975564585000000-09 2075564585:59:24.585 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 934 ms
2024-975564961000000-09 2075564961:59:24.961 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975564976000000-09 2075564976:59:24.976 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975564997000000-09 2075564997:59:24.997 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-975565004000000-09 2075565004:59:25.004 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.877 seconds (process running for 2.483)
